Date,Country,City,Specie,count,min,max,median,variance
26-06-2020,IN,Delhi,no2,892,0.1,39.4,8.8,366.09
15-01-2020,IN,Delhi,no2,840,2.7,100.8,18.7,2772.07
04-02-2020,IN,Delhi,no2,873,0.3,102.1,25.3,3882.26
06-02-2020,IN,Delhi,no2,875,1.8,101.2,19.7,2862.53
09-02-2020,IN,Delhi,no2,870,2,129.8,21.2,2937.18
16-07-2020,IN,Delhi,no2,847,0.2,40.5,7.1,258.29
18-01-2020,IN,Delhi,no2,824,2,80.8,18.5,1818.23
01-02-2020,IN,Delhi,no2,876,1.9,95.2,18.1,2385.01
03-04-2020,IN,Delhi,no2,881,0.2,48.4,6.2,542.71
28-05-2020,IN,Delhi,no2,927,0.1,133,6.3,780.86
04-06-2020,IN,Delhi,no2,937,0.9,133.8,13,1066.31
03-07-2020,IN,Delhi,no2,926,0.4,40.9,8.6,323.19
09-01-2020,IN,Delhi,no2,828,1.2,79.3,12.2,1308.5
14-01-2020,IN,Delhi,no2,869,2.6,99.3,15.4,2244.42
07-02-2020,IN,Delhi,no2,884,2.2,101.6,22.9,2678.3
31-05-2020,IN,Delhi,no2,840,0.2,131,6.7,615.84
01-03-2020,IN,Delhi,no2,835,0.3,65.8,16.9,1475
30-04-2020,IN,Delhi,no2,846,0.1,45.1,6.6,334.67
29-04-2020,IN,Delhi,no2,770,0.1,47.6,6.9,319.87
22-05-2020,IN,Delhi,no2,879,1.5,101,15.9,2405.38
01-06-2020,IN,Delhi,no2,868,1.1,132.9,9.9,734.65
05-07-2020,IN,Delhi,no2,835,0.1,130,6.1,613.43
10-01-2020,IN,Delhi,no2,882,2.5,90.7,17.9,2287.71
25-03-2020,IN,Delhi,no2,793,0.1,104.6,8.1,506.16
22-04-2020,IN,Delhi,no2,873,0.2,44.7,9.3,598.38
25-04-2020,IN,Delhi,no2,876,0.1,45.8,6.9,417.11
11-07-2020,IN,Delhi,no2,842,0.1,56.9,6.7,296.35
20-05-2020,IN,Delhi,no2,904,0.5,173,13.2,1228.99
25-05-2020,IN,Delhi,no2,903,0.6,66.3,11.9,997.87
09-06-2020,IN,Delhi,no2,946,1.3,69.4,11.6,983.64
10-06-2020,IN,Delhi,no2,909,1.4,130.4,11.7,1130.92
31-12-2019,IN,Delhi,no2,886,0.1,94.2,16.3,3187.62
03-01-2020,IN,Delhi,no2,865,1.1,100.6,18.8,3704.01
24-04-2020,IN,Delhi,no2,864,0.1,47.3,9.3,491.52
18-05-2020,IN,Delhi,no2,919,0.6,83.3,14.3,1216.35
21-03-2020,IN,Delhi,no2,889,0.7,74,17.7,1709.33
14-05-2020,IN,Delhi,no2,860,0.5,153.1,10.3,1063.4
25-06-2020,IN,Delhi,no2,887,0.1,61,8.7,539.78
28-06-2020,IN,Delhi,no2,855,0.4,52.3,7.4,461.66
04-01-2020,IN,Delhi,no2,812,0.6,108.5,21.2,4223.71
05-01-2020,IN,Delhi,no2,815,2.1,95.9,20.2,2406.46
16-01-2020,IN,Delhi,no2,840,2.9,100.7,18.9,2275.53
06-03-2020,IN,Delhi,no2,825,0.1,128.2,13.3,1257.44
08-07-2020,IN,Delhi,no2,917,0.1,132.1,6.1,520
17-07-2020,IN,Delhi,no2,895,0.6,46.3,7.2,360.13
07-05-2020,IN,Delhi,no2,783,0.8,120.8,6.7,654.57
17-05-2020,IN,Delhi,no2,916,1.5,173,12.9,1517.69
27-06-2020,IN,Delhi,no2,857,0.2,39.8,8.5,416.06
19-07-2020,IN,Delhi,no2,437,0.9,112.4,7,1483.61
12-02-2020,IN,Delhi,no2,861,1.8,90.4,21.6,2234.99
22-03-2020,IN,Delhi,no2,857,0.3,46.9,11.3,549.24
15-04-2020,IN,Delhi,no2,798,0.5,77.7,9.1,664.92
26-04-2020,IN,Delhi,no2,872,0.1,117.4,6.7,472.55
11-03-2020,IN,Delhi,no2,850,1.3,39.8,12.6,549.97
19-06-2020,IN,Delhi,no2,937,0.1,40.3,7.1,256.78
06-07-2020,IN,Delhi,no2,875,0.1,36.6,7.5,316.19
03-06-2020,IN,Delhi,no2,910,1.1,166.6,10.1,1838.23
11-01-2020,IN,Delhi,no2,865,0.7,100.7,22,3083.82
13-01-2020,IN,Delhi,no2,853,2,101.6,22.8,2519.26
13-04-2020,IN,Delhi,no2,849,0.1,54.2,9.1,549.43
14-04-2020,IN,Delhi,no2,848,0.2,52.8,9.7,529.75
04-05-2020,IN,Delhi,no2,769,0.1,118.8,6,745.1
18-06-2020,IN,Delhi,no2,793,0.1,105.7,7,1755.02
04-07-2020,IN,Delhi,no2,927,0.2,31.6,5.9,165.41
23-01-2020,IN,Delhi,no2,839,1.1,63.5,14.8,883.96
02-02-2020,IN,Delhi,no2,848,0.2,100.4,18.8,2332.91
20-03-2020,IN,Delhi,no2,862,1.4,145.6,21.9,2288.7
20-04-2020,IN,Delhi,no2,832,0.1,105.6,8.2,723.2
23-04-2020,IN,Delhi,no2,896,0.3,106.3,8.9,764.57
01-05-2020,IN,Delhi,no2,836,0.1,115.6,7,827.39
03-05-2020,IN,Delhi,no2,791,0.1,173,5.5,772.89
20-01-2020,IN,Delhi,no2,779,1.4,76.5,16,1807.92
12-03-2020,IN,Delhi,no2,862,0.2,120.6,14.9,1496.95
27-03-2020,IN,Delhi,no2,765,0.4,128.2,5.9,527.09
10-04-2020,IN,Delhi,no2,890,0.1,55.4,9.4,774.41
19-05-2020,IN,Delhi,no2,898,1.1,78,17.7,1530.17
26-05-2020,IN,Delhi,no2,900,0.8,69.4,13.2,1494.2
06-06-2020,IN,Delhi,no2,935,0.1,45.4,7.4,399.2
13-06-2020,IN,Delhi,no2,870,0.3,167.8,8.9,897.39
06-01-2020,IN,Delhi,no2,847,4.8,97.8,21.4,2619.14
05-02-2020,IN,Delhi,no2,892,0.3,101.9,21.9,2479.94
07-03-2020,IN,Delhi,no2,829,1.5,80,14,1337.7
15-05-2020,IN,Delhi,no2,839,1.7,101.1,9.8,1113.6
15-06-2020,IN,Delhi,no2,869,1.2,61.7,8.2,793.26
10-07-2020,IN,Delhi,no2,919,0.1,44.5,7.3,285.34
14-07-2020,IN,Delhi,no2,856,0.5,60.1,8.3,302.37
25-02-2020,IN,Delhi,no2,799,0.4,79.5,21.2,1811.01
15-03-2020,IN,Delhi,no2,816,0.8,69.9,15.9,1139.12
08-04-2020,IN,Delhi,no2,885,0.2,47.9,5.9,448.71
16-05-2020,IN,Delhi,no2,889,1.5,90,10.4,1225.01
12-05-2020,IN,Delhi,no2,810,0.4,48.6,7.6,261.77
02-07-2020,IN,Delhi,no2,914,0.7,40.4,8.6,339.77
30-12-2019,IN,Delhi,no2,873,0.4,103.9,20.8,2856.02
25-01-2020,IN,Delhi,no2,849,0.3,94,25.1,3026.31
21-02-2020,IN,Delhi,no2,770,1.2,76.3,12.2,1061.56
28-04-2020,IN,Delhi,no2,793,0.1,48.5,6.3,374.52
08-03-2020,IN,Delhi,no2,849,1.3,79,15.9,1380.94
10-03-2020,IN,Delhi,no2,858,1.8,51.3,12.7,802.72
28-03-2020,IN,Delhi,no2,843,0.1,40.6,6.4,339.22
05-04-2020,IN,Delhi,no2,889,0.1,48.5,7.7,541.63
08-01-2020,IN,Delhi,no2,823,2.1,125.1,16.5,1927.67
31-01-2020,IN,Delhi,no2,891,1,95.9,19.1,2076.69
03-02-2020,IN,Delhi,no2,882,2.3,99.7,22.5,3080.85
05-03-2020,IN,Delhi,no2,817,0.1,132.7,13.6,838.51
10-05-2020,IN,Delhi,no2,783,0.9,136.5,6.4,421.84
14-06-2020,IN,Delhi,no2,864,0.5,66.2,8.5,612.11
21-06-2020,IN,Delhi,no2,825,0.1,146.7,9.6,641.26
11-02-2020,IN,Delhi,no2,830,2.1,92,26.2,3132.35
09-03-2020,IN,Delhi,no2,873,0.7,75.1,13.8,1161.21
11-06-2020,IN,Delhi,no2,847,1.3,85.1,10.6,958.33
16-06-2020,IN,Delhi,no2,895,0.2,135.5,8,1760.22
16-03-2020,IN,Delhi,no2,786,1.3,56,16.2,1281.44
30-03-2020,IN,Delhi,no2,858,0.1,40.8,6.2,348.89
31-03-2020,IN,Delhi,no2,853,0.1,54.3,5.9,371.59
07-04-2020,IN,Delhi,no2,837,0.2,111.2,5.8,579.22
29-02-2020,IN,Delhi,no2,860,0.1,128.2,15.2,795.08
02-05-2020,IN,Delhi,no2,820,0.1,122.5,5.1,867.34
01-07-2020,IN,Delhi,no2,912,0.1,126.4,7.9,420.86
09-07-2020,IN,Delhi,no2,879,0.1,44,8.6,360.03
17-01-2020,IN,Delhi,no2,831,2.4,100.6,15,1900.56
