Date,Country,City,Specie,count,min,max,median,variance
02-06-2020,IN,Delhi,o3,852,0.1,207.2,17.2,5619.51
03-06-2020,IN,Delhi,o3,888,0.1,225.2,17.5,9856.97
20-06-2020,IN,Delhi,o3,887,0.1,98.2,12.2,1927.56
07-07-2020,IN,Delhi,o3,927,0.1,220.1,7.4,987.31
12-01-2020,IN,Delhi,o3,838,0.1,190.2,4.6,2249.24
07-02-2020,IN,Delhi,o3,869,0.1,172.7,4.9,4102.02
13-05-2020,IN,Delhi,o3,781,0.1,111.6,17.7,4233.57
31-03-2020,IN,Delhi,o3,809,0.9,146.4,15.5,1455.19
03-04-2020,IN,Delhi,o3,816,1.3,500,18,9759.05
13-06-2020,IN,Delhi,o3,849,0.1,159.4,15,2074.97
15-06-2020,IN,Delhi,o3,859,0.1,119.6,17.3,4854.62
08-07-2020,IN,Delhi,o3,909,0.1,154.9,7.5,1026.78
28-02-2020,IN,Delhi,o3,868,1.1,92.9,11.5,1404.35
02-03-2020,IN,Delhi,o3,797,0.1,143.4,5.4,4216.43
03-03-2020,IN,Delhi,o3,267,0.3,82.2,3.1,834.77
04-04-2020,IN,Delhi,o3,824,0.4,313.2,16,7928.71
07-04-2020,IN,Delhi,o3,799,0.9,232.4,16.8,3325.12
15-04-2020,IN,Delhi,o3,772,0.5,101.3,10.4,2063.34
17-04-2020,IN,Delhi,o3,807,1,67.4,22.9,1860.3
25-04-2020,IN,Delhi,o3,858,1.2,80.1,20.6,2873.22
15-01-2020,IN,Delhi,o3,817,0.1,70.1,3.9,969.22
24-01-2020,IN,Delhi,o3,829,0.1,145.5,6.9,2021.24
05-03-2020,IN,Delhi,o3,813,0.8,231.9,11.5,1588.88
25-06-2020,IN,Delhi,o3,827,0.1,171.3,8.3,2293.94
14-07-2020,IN,Delhi,o3,845,0.2,402.7,12.6,6204.93
11-01-2020,IN,Delhi,o3,835,0.1,67.2,5.1,1397.33
10-06-2020,IN,Delhi,o3,851,0.1,147.3,12,6644.46
19-06-2020,IN,Delhi,o3,916,0.1,98.5,13.7,2599.57
01-07-2020,IN,Delhi,o3,905,0.1,335.4,14.1,5414.98
15-07-2020,IN,Delhi,o3,871,0.2,402.7,14.6,4354.12
18-07-2020,IN,Delhi,o3,899,0.1,252.1,7.6,3036.46
04-01-2020,IN,Delhi,o3,801,0.1,269.7,3.7,5538.82
24-03-2020,IN,Delhi,o3,825,0.1,126.6,8.7,2465.43
04-06-2020,IN,Delhi,o3,909,0.1,138.7,12.8,3715.41
19-02-2020,IN,Delhi,o3,847,0.1,114,10.2,2798.75
24-02-2020,IN,Delhi,o3,777,0.3,315.9,7.2,5120.83
20-03-2020,IN,Delhi,o3,847,0.2,170.8,8.6,5177.35
21-03-2020,IN,Delhi,o3,877,0.1,116.5,8.9,3801.93
22-03-2020,IN,Delhi,o3,854,0.1,255.6,13.7,3225.47
23-03-2020,IN,Delhi,o3,832,0.2,91.4,12.1,2820.87
27-03-2020,IN,Delhi,o3,775,0.1,76,8.4,552.73
14-01-2020,IN,Delhi,o3,866,0.1,81.2,4,564.8
18-02-2020,IN,Delhi,o3,838,0.1,204.9,6.2,3771.76
27-02-2020,IN,Delhi,o3,835,0.1,102,6.6,2135.21
30-04-2020,IN,Delhi,o3,806,0.1,192.2,20.7,5016.56
19-05-2020,IN,Delhi,o3,823,0.1,179.9,16.4,10504.3
27-05-2020,IN,Delhi,o3,854,0.1,174.5,26.7,6941.13
09-07-2020,IN,Delhi,o3,873,0.1,227.6,9.8,4721.91
01-04-2020,IN,Delhi,o3,755,0.2,118.8,12.1,1563.86
06-04-2020,IN,Delhi,o3,823,0.6,281.3,14.9,4808.97
20-04-2020,IN,Delhi,o3,823,0.1,145.7,9.6,2090.47
16-04-2020,IN,Delhi,o3,807,0.1,160.1,14,3714.51
18-05-2020,IN,Delhi,o3,826,0.2,500,13.6,16535.3
02-07-2020,IN,Delhi,o3,890,0.1,271.7,16.6,5448.76
13-02-2020,IN,Delhi,o3,875,0.6,75.1,10,1417.7
02-04-2020,IN,Delhi,o3,791,1.7,151.2,14.2,1719.01
10-04-2020,IN,Delhi,o3,854,0.1,219.9,11.6,5080.63
16-05-2020,IN,Delhi,o3,838,0.4,245,23.7,8178.81
21-05-2020,IN,Delhi,o3,827,0.2,99.7,25,4231.72
24-06-2020,IN,Delhi,o3,831,0.1,50,8.3,768.19
10-02-2020,IN,Delhi,o3,834,0.1,170.1,4.1,4220.74
11-02-2020,IN,Delhi,o3,822,0.1,188.2,4.6,4797.43
02-05-2020,IN,Delhi,o3,806,0.8,92.8,21.4,3570.09
05-04-2020,IN,Delhi,o3,818,0.2,219.7,15.9,4590.48
28-06-2020,IN,Delhi,o3,844,0.1,200.9,4.6,1025.75
08-02-2020,IN,Delhi,o3,851,0.1,142.8,5.1,3207.87
20-02-2020,IN,Delhi,o3,855,0.8,75.3,17,2205.3
04-03-2020,IN,Delhi,o3,839,0.4,179.1,10.7,2470.65
14-03-2020,IN,Delhi,o3,847,0.2,129.8,7.5,1171.93
09-05-2020,IN,Delhi,o3,824,0.2,113.8,30.3,7095.91
14-06-2020,IN,Delhi,o3,855,0.1,106.9,12.5,3364.21
03-01-2020,IN,Delhi,o3,831,0.1,199.2,3.3,2111.2
08-01-2020,IN,Delhi,o3,805,0.1,125.8,2.9,644.92
19-01-2020,IN,Delhi,o3,794,0.2,51.6,4.9,781.62
16-03-2020,IN,Delhi,o3,786,0.1,89.7,7.9,2272.86
26-04-2020,IN,Delhi,o3,849,1.1,157.1,18.9,2203.69
07-05-2020,IN,Delhi,o3,787,0.1,125.1,29.5,4634.53
14-05-2020,IN,Delhi,o3,824,0.1,463.8,13,10986.3
27-06-2020,IN,Delhi,o3,850,0.1,111.3,5,609.48
31-12-2019,IN,Delhi,o3,845,0.1,39.9,4.2,569.81
29-02-2020,IN,Delhi,o3,855,0.7,70.5,10.6,978.37
06-03-2020,IN,Delhi,o3,811,0.8,76,10.3,749.1
26-01-2020,IN,Delhi,o3,830,0.1,113.4,4,1615.42
03-02-2020,IN,Delhi,o3,863,0.1,120.9,3.5,2412.86
29-03-2020,IN,Delhi,o3,777,0.6,92.6,14.4,1124.59
15-05-2020,IN,Delhi,o3,819,1.5,229.5,19.4,6830.96
05-06-2020,IN,Delhi,o3,916,0.1,261.4,14.5,3596.97
18-06-2020,IN,Delhi,o3,769,0.1,115.4,14.1,3536.91
16-01-2020,IN,Delhi,o3,817,0.1,66.4,3,338.52
22-01-2020,IN,Delhi,o3,851,0.1,108.4,3.5,792.73
27-01-2020,IN,Delhi,o3,848,0.1,104.7,3.8,687.37
19-04-2020,IN,Delhi,o3,777,0.1,500,12.7,5238.23
23-06-2020,IN,Delhi,o3,839,0.6,49.3,9.8,908.09
12-07-2020,IN,Delhi,o3,832,0.2,200.3,14.2,3067.18
12-02-2020,IN,Delhi,o3,863,0.1,135.1,6.5,2534.72
21-02-2020,IN,Delhi,o3,777,0.2,97.7,12.7,1008.27
11-04-2020,IN,Delhi,o3,825,0.1,194.3,16.8,4796.41
11-07-2020,IN,Delhi,o3,867,0.2,224.5,16,3676.84
13-01-2020,IN,Delhi,o3,838,0.1,151.5,4.6,1091.08
06-05-2020,IN,Delhi,o3,812,0.1,91.6,18.2,3816.62
11-06-2020,IN,Delhi,o3,825,0.1,133.5,14.9,5145.62
11-05-2020,IN,Delhi,o3,758,0.1,181.3,21.8,5219.9
30-03-2020,IN,Delhi,o3,818,0.9,85.3,15.7,1221.78
14-04-2020,IN,Delhi,o3,808,0.1,127,12.3,3302.49
27-04-2020,IN,Delhi,o3,840,0.2,126.5,16.7,3830.03
06-02-2020,IN,Delhi,o3,865,0.1,170.2,4.5,2733.44
01-05-2020,IN,Delhi,o3,787,0.1,159.2,16.9,5553.65
01-06-2020,IN,Delhi,o3,843,0.1,200.2,15.4,8381.68
19-07-2020,IN,Delhi,o3,418,0.1,178.1,5.3,1396.27
01-01-2020,IN,Delhi,o3,839,0.1,153.1,4.7,2159.83
30-01-2020,IN,Delhi,o3,876,0.2,108.1,3.7,920.4
05-02-2020,IN,Delhi,o3,851,0.1,120.8,4.6,1888.2
13-03-2020,IN,Delhi,o3,830,0.1,143,7.1,2258.35
22-04-2020,IN,Delhi,o3,842,0.1,79.3,14.1,3718.08
12-05-2020,IN,Delhi,o3,773,0.1,94.2,24.7,3997.26
25-05-2020,IN,Delhi,o3,843,0.1,500,17.8,12636.3
30-05-2020,IN,Delhi,o3,852,0.1,115.2,19.1,2706.09
13-07-2020,IN,Delhi,o3,831,0.3,161.4,11.8,2377.18
10-01-2020,IN,Delhi,o3,871,0.1,52.7,4.5,914.83
23-01-2020,IN,Delhi,o3,838,0.2,58.1,6.4,976.64
09-02-2020,IN,Delhi,o3,806,0.1,126,4.9,3845.88
26-03-2020,IN,Delhi,o3,775,0.6,108.6,8.6,529.34
21-06-2020,IN,Delhi,o3,813,0.3,99.9,10.5,2106.24
30-06-2020,IN,Delhi,o3,755,0.2,119.8,13.5,1676.72
10-07-2020,IN,Delhi,o3,907,0.1,230.3,10.8,4328.13
29-01-2020,IN,Delhi,o3,864,0.1,151.5,3.5,1246.34
25-02-2020,IN,Delhi,o3,789,0.2,118.8,5.3,2171.29
19-03-2020,IN,Delhi,o3,858,0.1,192.7,7.1,3731.24
17-02-2020,IN,Delhi,o3,864,0.1,228,4,3595.02
09-03-2020,IN,Delhi,o3,862,0.3,89.7,8.5,1326.22
28-03-2020,IN,Delhi,o3,858,0.7,78.6,7.4,720.27
08-05-2020,IN,Delhi,o3,790,0.3,115.6,27.1,7291.7
07-06-2020,IN,Delhi,o3,897,0.2,114.1,15.6,2158.24
18-01-2020,IN,Delhi,o3,817,0.1,65.2,2.9,517.09
15-02-2020,IN,Delhi,o3,855,0.1,78.4,9.3,2525.73
16-02-2020,IN,Delhi,o3,845,0.1,108.1,4.2,4156.76
16-07-2020,IN,Delhi,o3,809,0.1,193.3,9.5,1835.59
16-06-2020,IN,Delhi,o3,890,0.1,139.3,19.2,3913.07
22-06-2020,IN,Delhi,o3,848,0.7,115.7,16,4400.37
26-06-2020,IN,Delhi,o3,845,0.1,254.1,7.3,2324.52
09-04-2020,IN,Delhi,o3,842,0.5,230.7,17.2,3106.72
12-04-2020,IN,Delhi,o3,847,1,256.5,18.2,3496.47
29-05-2020,IN,Delhi,o3,796,0.2,148.4,17.1,2122.57
03-07-2020,IN,Delhi,o3,885,0.1,126.5,16.2,2985.83
17-07-2020,IN,Delhi,o3,868,0.1,221.4,8.9,2051.78
07-03-2020,IN,Delhi,o3,844,0.1,146.6,11.1,1652.73
10-03-2020,IN,Delhi,o3,830,0.4,139.9,10.8,3390.18
12-03-2020,IN,Delhi,o3,854,0.1,402.7,8.1,4516.93
23-02-2020,IN,Delhi,o3,795,0.1,135.3,6.7,2659.7
08-03-2020,IN,Delhi,o3,839,0.1,90.3,4.9,1765.67
17-03-2020,IN,Delhi,o3,840,0.1,119.3,9,2656.04
08-04-2020,IN,Delhi,o3,864,0.7,202.9,17.7,3595.84
18-04-2020,IN,Delhi,o3,819,0.7,100.3,18.6,1993.05
30-12-2019,IN,Delhi,o3,855,0.1,77.9,2.4,406.5
05-01-2020,IN,Delhi,o3,743,0.1,263.3,4.6,2372.87
06-01-2020,IN,Delhi,o3,808,0.1,142.5,3.4,1260.17
29-04-2020,IN,Delhi,o3,742,0.2,261.5,20.2,5623.89
04-05-2020,IN,Delhi,o3,753,0.1,171.9,15.8,4396.14
31-05-2020,IN,Delhi,o3,829,0.1,101.6,16,1823.96
23-04-2020,IN,Delhi,o3,884,0.3,75,16.6,2055.69
03-05-2020,IN,Delhi,o3,788,0.3,81.9,18.3,1952.92
08-06-2020,IN,Delhi,o3,883,0.1,160.6,18,5591.61
09-06-2020,IN,Delhi,o3,902,0.2,148.4,15.4,5692.4
12-06-2020,IN,Delhi,o3,843,0.1,110.4,16.3,3918.95
02-01-2020,IN,Delhi,o3,856,0.1,137.7,3.8,1760.4
21-01-2020,IN,Delhi,o3,788,0.1,61.1,3.7,586.5
28-01-2020,IN,Delhi,o3,865,0.2,115.1,4.9,703.16
22-05-2020,IN,Delhi,o3,793,0.1,147.1,14.4,10121.6
24-05-2020,IN,Delhi,o3,818,0.2,500,20,9644.09
29-06-2020,IN,Delhi,o3,821,0.1,396.2,7.7,4969
05-07-2020,IN,Delhi,o3,814,0.2,196.3,17.9,3214.48
06-07-2020,IN,Delhi,o3,854,0.4,121.4,11.3,1514.42
26-02-2020,IN,Delhi,o3,826,0.1,225.2,5.8,3728.94
01-03-2020,IN,Delhi,o3,821,0.5,92,10.7,2262.7
11-03-2020,IN,Delhi,o3,842,0.3,167.5,14.4,2926.71
09-01-2020,IN,Delhi,o3,843,0.1,50.1,4.6,391.3
17-05-2020,IN,Delhi,o3,831,0.3,500,21.2,13398.9
28-05-2020,IN,Delhi,o3,875,0.1,175.1,20.5,2954.87
04-02-2020,IN,Delhi,o3,851,0.1,133.7,4.2,3953.07
05-05-2020,IN,Delhi,o3,759,0.1,96.2,14,5031.34
25-01-2020,IN,Delhi,o3,820,0.1,252.5,3.5,2800.21
31-01-2020,IN,Delhi,o3,886,0.1,119.1,3.5,1211.79
01-02-2020,IN,Delhi,o3,880,0.1,123.1,3.8,1557.88
10-05-2020,IN,Delhi,o3,758,0.2,136.1,24.5,2366.73
26-05-2020,IN,Delhi,o3,822,0.1,165.9,11.4,3701.27
20-01-2020,IN,Delhi,o3,755,0.1,83.9,4.9,435.47
02-02-2020,IN,Delhi,o3,819,0.1,120,3.8,1478.28
28-04-2020,IN,Delhi,o3,788,1.1,189.4,19.8,5675.3
17-06-2020,IN,Delhi,o3,895,0.3,95.9,17.1,2787.62
04-07-2020,IN,Delhi,o3,878,0.3,228,14.6,3184.1
17-01-2020,IN,Delhi,o3,822,0.2,65.6,3,456.6
21-04-2020,IN,Delhi,o3,798,0.5,142.3,16.6,3154.41
06-06-2020,IN,Delhi,o3,912,0.2,99.6,16.3,3074.53
07-01-2020,IN,Delhi,o3,840,0.1,71.6,3.6,501.04
22-02-2020,IN,Delhi,o3,810,0.3,91.4,6.3,1572.9
18-03-2020,IN,Delhi,o3,839,0.1,173.4,10.2,2949.38
13-04-2020,IN,Delhi,o3,819,0.1,500,12.5,8766.09
24-04-2020,IN,Delhi,o3,830,0.1,147.9,14.7,4847.7
20-05-2020,IN,Delhi,o3,842,0.2,222.3,23.2,8757.06
23-05-2020,IN,Delhi,o3,799,0.2,116.2,13.8,4307.72
14-02-2020,IN,Delhi,o3,858,1,110.4,13.7,1539.86
15-03-2020,IN,Delhi,o3,818,0.1,73.1,7.7,2078.33
25-03-2020,IN,Delhi,o3,787,0.1,75.4,8.3,1156.02
